"Time", "controlBus.chassisBus.longitudinalVelocity|km/h", "controlBus.chassisBus.longitudinalAcceleration|m/s2", "controlBus.batteryBus_1.SOC"
"18.2", "-0.008530695", "-1.27E-11", "0.97"
"18.3", "-0.008530695", "-1.17E-11", "0.97"
"18.4", "-0.008530695", "-1.09E-11", "0.97"
"18.5", "-0.008530696", "-1.01E-11", "0.97"
"18.6", "-0.008530696", "-9.36E-12", "0.97"
"18.7", "-0.008530696", "-8.69E-12", "0.97"
"18.8", "-0.008530696", "-8.14E-12", "0.97"
"18.9", "-0.008530696", "-7.62E-12", "0.97"
"19", "-0.008530696", "-7.15E-12", "0.97"
"19.1", "-0.008530696", "-6.71E-12", "0.97"
"19.2", "-0.008530696", "-6.29E-12", "0.97"
"19.3", "-0.008530696", "-5.86E-12", "0.97"
"19.4", "-0.008530696", "-5.43E-12", "0.97"
"19.5", "-0.008530696", "-5.00E-12", "0.97"
"19.6", "-0.008530696", "-4.68E-12", "0.97"
"19.7", "-0.008530696", "-4.39E-12", "0.97"
"19.8", "-0.008530696", "-4.11E-12", "0.97"
"19.9", "-0.008530696", "-3.85E-12", "0.97"
"20", "-0.008530696", "-3.58E-12", "0.97"
"20.1", "-0.008530696", "-3.31E-12", "0.97"
"20.2", "-0.008530696", "-3.04E-12", "0.97"
"20.3", "-0.008530696", "-2.78E-12", "0.97"
"20.4", "-0.008530696", "-2.57E-12", "0.97"
"20.5", "-0.008530696", "-2.38E-12", "0.97"
"20.6", "-0.008530696", "-2.20E-12", "0.97"
"20.7", "-0.008530696", "-2.04E-12", "0.97"
"20.8", "-0.008530696", "-1.88E-12", "0.97"
"20.9", "-0.008530696", "-1.73E-12", "0.97"
"21", "-0.008530696", "-1.59E-12", "0.97"
"21.1", "-0.008530696", "-1.46E-12", "0.97"
"21.2", "-0.008530696", "-1.35E-12", "0.97"
"21.3", "-0.008530696", "-1.23E-12", "0.97"
"21.4", "-0.008530696", "-1.13E-12", "0.97"
"21.5", "-0.008530696", "-1.04E-12", "0.97"
"21.6", "-0.008530696", "-9.52E-13", "0.97"
"21.7", "-0.008530696", "-8.65E-13", "0.97"
"21.8", "-0.008530696", "-7.91E-13", "0.97"
"21.9", "-0.008530696", "-7.22E-13", "0.97"
"22", "-0.008530696", "-6.58E-13", "0.97"
"22.1", "-0.008530696", "-5.96E-13", "0.97"
"22.2", "-0.008530696", "-5.41E-13", "0.97"
"22.3", "-0.008530696", "-4.96E-13", "0.97"
"22.4", "-0.008530696", "-4.51E-13", "0.97"
"22.5", "-0.008530696", "-4.04E-13", "0.97"
"22.6", "-0.008530696", "-3.64E-13", "0.97"
"22.7", "-0.008530696", "-3.33E-13", "0.97"
"22.8", "-0.008530696", "-2.98E-13", "0.97"
"22.9", "-0.008530696", "-2.64E-13", "0.97"
"23", "-0.008530696", "-2.46E-13", "0.97"
"23.1", "-0.008530696", "-2.22E-13", "0.97"
"23.2", "-0.008530696", "-2.03E-13", "0.97"
"23.3", "-0.008530696", "-1.83E-13", "0.97"
"23.4", "-0.008530696", "-1.70E-13", "0.97"
"23.5", "-0.008530696", "-1.47E-13", "0.97"
"23.6", "-0.008530696", "-1.32E-13", "0.97"
"23.7", "-0.008530696", "-1.23E-13", "0.97"
"23.8", "-0.008530696", "-1.08E-13", "0.97"
"23.9", "-0.008530696", "-1.00E-13", "0.97"
"24", "-0.008530696", "-8.64E-14", "0.97"
"24.1", "-0.008530696", "-7.80E-14", "0.97"
"24.2", "-0.008530696", "-7.20E-14", "0.97"
"24.3", "-0.008530696", "-6.60E-14", "0.97"
"24.4", "-0.008530696", "-5.71E-14", "0.97"
"24.5", "-0.008530696", "-5.60E-14", "0.97"
"24.6", "-0.008530696", "-4.89E-14", "0.97"
"24.7", "-0.008530696", "-4.22E-14", "0.97"
"24.8", "-0.008530696", "-3.89E-14", "0.97"
"24.9", "-0.008530696", "-3.38E-14", "0.97"
"25", "-0.008530696", "-3.07E-14", "0.97"
"25.1", "-0.008530696", "-3.00E-14", "0.97"
"25.2", "-0.008530696", "-2.43E-14", "0.97"
"25.3", "-0.008530696", "-2.79E-14", "0.97"
"25.4", "-0.008530696", "-2.35E-14", "0.97"
"25.5", "-0.008530696", "-2.23E-14", "0.97"
"25.6", "-0.008530696", "-1.47E-14", "0.97"
"25.7", "-0.008530696", "-1.16E-14", "0.97"
"25.8", "-0.008530696", "-6.73E-15", "0.97"
"25.9", "-0.008530696", "-1.19E-14", "0.97"
"26", "-0.008530696", "-9.41E-15", "0.97"
"26.1", "-0.008530696", "-8.87E-15", "0.97"
"26.2", "-0.008530696", "-6.24E-15", "0.97"
"26.3", "-0.008530696", "-9.70E-15", "0.97"
"26.4", "-0.008530696", "-4.42E-15", "0.97"
"26.5", "-0.008530696", "-8.15E-15", "0.97"
"26.6", "-0.008530696", "-1.06E-14", "0.97"
"26.7", "-0.008530696", "-9.74E-15", "0.97"
"26.8", "-0.008530696", "-1.12E-14", "0.97"
"26.9", "-0.008530696", "-9.61E-15", "0.97"
"27", "-0.008530696", "-7.39E-15", "0.97"
"27.1", "-0.008530696", "-1.26E-14", "0.97"
"27.2", "-0.008530696", "-7.65E-15", "0.97"
"27.3", "-0.008530696", "-7.18E-15", "0.97"
"27.4", "-0.008530696", "-1.09E-14", "0.97"
"27.5", "-0.008530696", "-7.59E-15", "0.97"
"27.6", "-0.008530696", "-6.23E-15", "0.97"
"27.7", "-0.008530696", "-4.81E-15", "0.97"
"27.8", "-0.008530696", "-3.29E-15", "0.97"
"27.9", "-0.008530696", "-3.80E-15", "0.97"
"28", "-0.008530696", "-5.49E-15", "0.97"
"28.1", "-0.008530696", "-5.28E-15", "0.97"
"28.2", "-0.008530696", "-4.47E-16", "0.97"
"28.3", "-0.008530696", "2.37E-15", "0.97"
"28.4", "-0.008530696", "3.27E-15", "0.97"
"28.5", "-0.008530696", "-8.84E-16", "0.97"
"28.6", "-0.008530696", "1.73E-15", "0.97"
"28.7", "-0.008530696", "7.88E-16", "0.97"
"28.8", "-0.008530696", "5.28E-16", "0.97"
"28.9", "-0.008530696", "1.11E-15", "0.97"
"29", "-0.008530696", "-2.03E-15", "0.97"
"29.1", "-0.008530696", "5.52E-15", "0.97"
"29.2", "-0.008530696", "-1.39E-15", "0.97"
"29.3", "-0.008530696", "3.32E-15", "0.97"
"29.4", "-0.008530696", "-5.06E-17", "0.97"
"29.5", "-0.008530696", "-2.23E-15", "0.97"
"29.6", "-0.008530696", "1.72E-15", "0.97"
"29.7", "-0.008530696", "-3.92E-15", "0.97"
"29.8", "-0.008530696", "1.71E-15", "0.97"
"29.9", "-0.008530696", "-2.60E-15", "0.97"
"30", "-0.008530696", "-6.83E-16", "0.97"
"30.1", "-0.008530696", "-3.81E-15", "0.97"
"30.2", "-0.008530696", "-2.18E-15", "0.97"
"30.3", "-0.008530696", "-6.33E-16", "0.97"
"30.4", "-0.008530696", "-5.83E-15", "0.97"
"30.5", "-0.008530696", "-6.23E-15", "0.97"
"30.6", "-0.008530696", "-9.18E-15", "0.97"
"30.7", "-0.008530696", "-3.65E-15", "0.97"
"30.8", "-0.008530696", "-5.90E-15", "0.97"
"30.9", "-0.008530696", "-7.50E-15", "0.97"
"31", "-0.008530696", "-5.77E-16", "0.97"
"31.1", "-0.008530696", "-6.02E-15", "0.97"
"31.2", "-0.008530696", "-1.84E-15", "0.97"
"31.3", "-0.008530696", "-6.08E-15", "0.97"
"31.4", "-0.008530696", "-1.26E-15", "0.97"
